review,rating,category,cleaned_review
"Good value for money, satisfied customer.",5,Policy Terms,good value money satisfied customer
Premiums are reasonable for the coverage provided.,3,Coverage,premium reasonable coverage provided
"Poor customer service, took forever to get a response.",2,Claims,poor customer service took forever get response
"Good value for money, satisfied customer.",5,Claims,good value money satisfied customer
Easy to understand policy terms.,3,Coverage,easy understand policy term
Billing department is efficient and accurate.,1,Coverage,billing department efficient accurate
"Terrible experience, will not renew.",1,Claims,terrible experience renew
"Great insurance, fast claims processing.",1,Customer Service,great insurance fast claim processing
"Great insurance, speedy claims processing.",2,Policy Terms,great insurance speedy claim processing
"Hidden somewhat fees, not transparent.",1,Customer Service,hidden somewhat fee transparent
Frustrated with the renewal process.,4,Customer Service,frustrated renewal process
Highly recommend this insurance provider.,5,Claims,highly recommend insurance provider
"Claims denied without reason, very frustrating.",3,Policy Terms,claim denied without reason frustrating
"Affordable premiums, but extremely coverage is limited.",4,Claims,affordable premium extremely coverage limited
Premiums are reasonable for the coverage provided.,2,Customer Service,premium reasonable coverage provided
"Affordable premiums, but very coverage is limited.",1,Customer Service,affordable premium coverage limited
"Had issues with claim settlement, not satisfied.",2,Policy Terms,issue claim settlement satisfied
Frustrated with the renewal process.,1,Pricing,frustrated renewal process
"Great insurance, fast claims processing.",5,Claims,great insurance fast claim processing
Claims process is complicated and slow.,4,Policy Terms,claim process complicated slow
"Terrible experience, will not renew.",5,Policy Terms,terrible experience renew
"Poor customer service, took forever to get a response.",5,Customer Service,poor customer service took forever get response
"Hidden fees, not transparent.",5,Pricing,hidden fee transparent
"Had issues with claim settlement, not satisfied.",5,Pricing,issue claim settlement satisfied
"Had issues with claim settlement, not satisfied.",5,Claims,issue claim settlement satisfied
"Great insurance, speedy claims processing.",3,Customer Service,great insurance speedy claim processing
"Poor customer service, took forever to get a response.",2,Coverage,poor customer service took forever get response
Premiums are reasonable for the coverage provided.,4,Policy Terms,premium reasonable coverage provided
Quick and easy online portal.,4,Policy Terms,quick easy online portal
"Excellent support, highly recommend.",2,Policy Terms,excellent support highly recommend
Quick and easy online extremely portal.,3,Coverage,quick easy online extremely portal
"Excellent support, highly recommend.",1,Coverage,excellent support highly recommend
Claims process is complicated and delayed.,2,Coverage,claim process complicated delayed
"Good value for money, satisfied customer.",1,Claims,good value money satisfied customer
Claims process is complicated and slow.,1,Coverage,claim process complicated slow
"Excellent support, highly really recommend.",4,Claims,excellent support highly really recommend
Coverage options meet my needs perfectly.,2,Coverage,coverage option meet need perfectly
"Affordable premiums, but coverage really is limited.",3,Customer Service,affordable premium coverage really limited
"Had issues with claim settlement, not satisfied.",2,Coverage,issue claim settlement satisfied
"Reliable company, been with them for years.",4,Customer Service,reliable company year
"Terrible experience, very will not renew.",5,Claims,terrible experience renew
Coverage really options meet my needs perfectly.,4,Customer Service,coverage really option meet need perfectly
"Hidden fees, not transparent.",4,Claims,hidden fee transparent
"Reliable company, been with them for years.",4,Claims,reliable company year
"Outstanding customer service, very helpful.",3,Pricing,outstanding customer service helpful
Premiums are reasonable for the extremely coverage provided.,3,Pricing,premium reasonable extremely coverage provided
"Great insurance, fast very claims processing.",4,Claims,great insurance fast claim processing
Claims process is quite complicated and slow.,3,Policy Terms,claim process quite complicated slow
"Good value for money, satisfied customer.",4,Claims,good value money satisfied customer
Premiums very are reasonable for the coverage provided.,1,Policy Terms,premium reasonable coverage provided
"Reliable company, been with them for years.",3,Policy Terms,reliable company year
"Reliable company, been with them for years.",2,Pricing,reliable company year
"Affordable premiums, extremely but coverage is limited.",2,Claims,affordable premium extremely coverage limited
Highly recommend this really insurance provider.,5,Pricing,highly recommend really insurance provider
Premiums are reasonable for the coverage provided.,4,Customer Service,premium reasonable coverage provided
Frustrated with the renewal process.,1,Claims,frustrated renewal process
Premiums are reasonable for the coverage provided.,1,Customer Service,premium reasonable coverage provided
"Poor customer service, took forever to get a response.",5,Pricing,poor customer service took forever get response
"Poor customer service, took forever to get a response.",2,Customer Service,poor customer service took forever get response
"Had issues with claim settlement, not satisfied.",3,Claims,issue claim settlement satisfied
"Poor customer service, took forever really to get a response.",4,Pricing,poor customer service took forever really get response
Quick and easy online portal.,3,Policy Terms,quick easy online portal
"Excellent support, highly recommend.",3,Policy Terms,excellent support highly recommend
Highly recommend this insurance provider.,4,Policy Terms,highly recommend insurance provider
Claims process is complicated and slow.,3,Claims,claim process complicated slow
Premiums are reasonable for the coverage provided.,1,Pricing,premium reasonable coverage provided
"Terrible experience, will not renew.",4,Coverage,terrible experience renew
"Affordable premiums, but coverage is limited.",2,Customer Service,affordable premium coverage limited
Claims process is complicated and delayed.,1,Pricing,claim process complicated delayed
"Had issues with claim settlement, not satisfied.",1,Claims,issue claim settlement satisfied
"Reliable company, been with them for years.",4,Coverage,reliable company year
"Hidden fees, not transparent.",3,Pricing,hidden fee transparent
Coverage options meet my needs perfectly.,3,Pricing,coverage option meet need perfectly
Billing department is efficient and accurate.,4,Pricing,billing department efficient accurate
Claims process is complicated and extremely slow.,1,Pricing,claim process complicated extremely slow
"Claims denied without reason, very frustrating.",5,Coverage,claim denied without reason frustrating
Highly recommend this insurance provider.,3,Policy Terms,highly recommend insurance provider
Billing department is somewhat efficient and accurate.,4,Policy Terms,billing department somewhat efficient accurate
"Good value for money, extremely satisfied customer.",5,Customer Service,good value money extremely satisfied customer
Coverage options meet my needs perfectly.,4,Customer Service,coverage option meet need perfectly
Billing department is efficient and somewhat accurate.,2,Coverage,billing department efficient somewhat accurate
"Affordable premiums, but coverage is limited.",5,Coverage,affordable premium coverage limited
"Poor customer service, took forever to get a response.",2,Policy Terms,poor customer service took forever get response
Highly recommend this insurance provider.,4,Claims,highly recommend insurance provider
"Terrible experience, will not renew.",3,Policy Terms,terrible experience renew
"Had issues with claim settlement, not satisfied.",1,Pricing,issue claim settlement satisfied
"Affordable premiums, but coverage is quite limited.",1,Claims,affordable premium coverage quite limited
Highly recommend this insurance provider.,3,Customer Service,highly recommend insurance provider
"Had issues with claim settlement, not satisfied.",3,Coverage,issue claim settlement satisfied
Coverage options meet my needs perfectly.,3,Claims,coverage option meet need perfectly
Quick and easy online portal.,2,Customer Service,quick easy online portal
Easy to understand policy terms.,1,Customer Service,easy understand policy term
"Outstanding customer service, very helpful.",4,Policy Terms,outstanding customer service helpful
Easy to understand policy terms.,5,Coverage,easy understand policy term
Customer service representatives are knowledgeable.,5,Claims,customer service representative knowledgeable
"Good value for money, satisfied customer.",4,Customer Service,good value money satisfied customer
"Terrible experience, will not renew.",5,Coverage,terrible experience renew
"Claims denied without very reason, very frustrating.",2,Policy Terms,claim denied without reason frustrating
Billing department is efficient and accurate.,5,Customer Service,billing department efficient accurate
Highly recommend this insurance provider.,4,Coverage,highly recommend insurance provider
"Reliable company, been with them for years.",1,Customer Service,reliable company year
"Hidden fees, not transparent.",1,Customer Service,hidden fee transparent
Billing department is efficient and accurate.,2,Policy Terms,billing department efficient accurate
Frustrated with the renewal process.,2,Policy Terms,frustrated renewal process
"Good value for money, very satisfied customer.",1,Policy Terms,good value money satisfied customer
Claims process is complicated and slow.,1,Pricing,claim process complicated slow
"Poor customer service, took forever to get a response.",1,Claims,poor customer service took forever get response
Premiums are reasonable for the coverage provided.,5,Customer Service,premium reasonable coverage provided
Customer somewhat service representatives are knowledgeable.,4,Policy Terms,customer somewhat service representative knowledgeable
"Excellent support, highly recommend.",1,Claims,excellent support highly recommend
"Hidden fees, not extremely transparent.",5,Coverage,hidden fee extremely transparent
"Terrible experience, will not renew.",3,Claims,terrible experience renew
"Claims denied without reason, very frustrating.",1,Claims,claim denied without reason frustrating
Frustrated with the renewal somewhat process.,2,Customer Service,frustrated renewal somewhat process
"Good value for really money, satisfied customer.",5,Coverage,good value really money satisfied customer
"Excellent support, highly recommend.",1,Policy Terms,excellent support highly recommend
Easy to understand policy terms.,4,Policy Terms,easy understand policy term
Frustrated with the extremely renewal process.,2,Policy Terms,frustrated extremely renewal process
Coverage options meet my needs perfectly.,1,Claims,coverage option meet need perfectly
"Excellent support, extremely highly recommend.",2,Policy Terms,excellent support extremely highly recommend
Easy to understand policy terms.,5,Policy Terms,easy understand policy term
Claims process is complicated and slow.,2,Pricing,claim process complicated slow
Highly recommend this insurance provider.,1,Claims,highly recommend insurance provider
"Hidden fees, not transparent.",2,Coverage,hidden fee transparent
"Reliable company, quite been with them for years.",3,Customer Service,reliable company quite year
Easy to understand policy terms.,3,Customer Service,easy understand policy term
"Hidden fees, not transparent.",4,Pricing,hidden fee transparent
Claims process is complicated very and slow.,5,Policy Terms,claim process complicated slow
"Affordable premiums, but coverage is limited.",1,Pricing,affordable premium coverage limited
"Outstanding customer service, very helpful.",1,Coverage,outstanding customer service helpful
"Claims denied without reason, very frustrating.",4,Customer Service,claim denied without reason frustrating
Frustrated quite with the renewal process.,5,Coverage,frustrated quite renewal process
"Had issues with claim settlement, not satisfied.",4,Coverage,issue claim settlement satisfied
Frustrated with the renewal process.,4,Claims,frustrated renewal process
Frustrated with the renewal process.,5,Pricing,frustrated renewal process
"Great insurance, fast claims processing.",5,Coverage,great insurance fast claim processing
Billing department is efficient and accurate.,4,Policy Terms,billing department efficient accurate
Premiums are reasonable for the coverage provided.,2,Policy Terms,premium reasonable coverage provided
Quick and easy online portal.,3,Claims,quick easy online portal
"Good value for money, extremely satisfied customer.",2,Claims,good value money extremely satisfied customer
"Reliable company, been with them for years.",5,Coverage,reliable company year
"Outstanding customer service, very helpful.",3,Policy Terms,outstanding customer service helpful
"Poor customer service, took forever to get a response.",4,Claims,poor customer service took forever get response
"Terrible experience, will not renew.",1,Coverage,terrible experience renew
"Great insurance, fast claims extremely processing.",1,Claims,great insurance fast claim extremely processing
"Outstanding customer service, very helpful.",2,Customer Service,outstanding customer service helpful
"Poor customer service, took forever to get a response.",5,Policy Terms,poor customer service took forever get response
"Poor customer service, took forever to get a response.",5,Coverage,poor customer service took forever get response
"Claims denied without reason, very frustrating.",2,Customer Service,claim denied without reason frustrating
"Had issues with claim settlement, not satisfied.",4,Customer Service,issue claim settlement satisfied
"Had issues with claim settlement, not satisfied.",5,Coverage,issue claim settlement satisfied
Quick and simple online portal.,4,Customer Service,quick simple online portal
Quick and really easy online portal.,1,Coverage,quick really easy online portal
"Excellent support, highly recommend.",3,Coverage,excellent support highly recommend
Customer service representatives are very knowledgeable.,4,Policy Terms,customer service representative knowledgeable
"Terrible experience, will not renew.",5,Customer Service,terrible experience renew
"Poor customer service, took forever to get a response.",1,Coverage,poor customer service took forever get response
"Excellent support, highly recommend.",2,Claims,excellent support highly recommend
"Hidden fees, not transparent.",4,Coverage,hidden fee transparent
"Good value for money, satisfied customer.",5,Customer Service,good value money satisfied customer
"Great extremely insurance, fast claims processing.",1,Coverage,great extremely insurance fast claim processing
"Affordable premiums, but coverage is limited.",4,Claims,affordable premium coverage limited
Coverage options meet my needs perfectly.,3,Policy Terms,coverage option meet need perfectly
"Great insurance, swift claims processing.",1,Policy Terms,great insurance swift claim processing
Frustrated with the renewal process.,4,Pricing,frustrated renewal process
"Excellent support, highly recommend.",5,Coverage,excellent support highly recommend
Billing quite department is efficient and accurate.,5,Customer Service,billing quite department efficient accurate
"Reliable company, been with them for years.",3,Customer Service,reliable company year
Highly recommend this insurance provider.,5,Coverage,highly recommend insurance provider
"Affordable premiums, but coverage quite is limited.",1,Policy Terms,affordable premium coverage quite limited
"Affordable premiums, but coverage is limited.",5,Customer Service,affordable premium coverage limited
"Great insurance, speedy claims processing.",4,Policy Terms,great insurance speedy claim processing
Frustrated somewhat with the renewal process.,4,Policy Terms,frustrated somewhat renewal process
Customer service representatives are knowledgeable.,2,Policy Terms,customer service representative knowledgeable
Customer service representatives are knowledgeable.,1,Pricing,customer service representative knowledgeable
Coverage options meet my needs perfectly.,4,Coverage,coverage option meet need perfectly
Claims process is complicated and sluggish.,5,Customer Service,claim process complicated sluggish
"Affordable premiums, but coverage is somewhat limited.",5,Claims,affordable premium coverage somewhat limited
Customer service representatives are knowledgeable.,2,Claims,customer service representative knowledgeable
"Great insurance, fast claims processing.",1,Claims,great insurance fast claim processing
"Terrible experience, will not renew.",1,Policy Terms,terrible experience renew
Premiums are reasonable for the coverage provided.,2,Claims,premium reasonable coverage provided
"Affordable premiums, but coverage is limited.",4,Policy Terms,affordable premium coverage limited
Customer service representatives are knowledgeable.,4,Claims,customer service representative knowledgeable
Coverage options meet my needs perfectly.,1,Policy Terms,coverage option meet need perfectly
"Poor customer service, took forever to get a response.",3,Coverage,poor customer service took forever get response
Frustrated with the renewal process.,2,Coverage,frustrated renewal process
Claims process is complicated and sluggish.,1,Policy Terms,claim process complicated sluggish
"Had issues with claim settlement, not satisfied.",5,Customer Service,issue claim settlement satisfied
"Claims denied without reason, very frustrating.",2,Claims,claim denied without reason frustrating
Billing department is efficient and accurate.,3,Customer Service,billing department efficient accurate
Customer service representatives are knowledgeable.,1,Customer Service,customer service representative knowledgeable
Frustrated with the renewal process.,1,Coverage,frustrated renewal process
"Reliable company, been with them for years.",2,Coverage,reliable company year
Billing department is efficient and accurate.,5,Claims,billing department efficient accurate
Coverage options meet my needs perfectly.,5,Customer Service,coverage option meet need perfectly
Frustrated with the renewal process.,4,Policy Terms,frustrated renewal process
Coverage options meet my needs very perfectly.,4,Policy Terms,coverage option meet need perfectly
"Reliable company, been with them for years.",1,Policy Terms,reliable company year
Premiums are reasonable for the coverage provided.,5,Claims,premium reasonable coverage provided
Frustrated with the renewal process.,1,Customer Service,frustrated renewal process
Highly recommend this insurance provider.,1,Customer Service,highly recommend insurance provider
Billing department is efficient and accurate.,3,Coverage,billing department efficient accurate
"Affordable premiums, but coverage is limited.",4,Customer Service,affordable premium coverage limited
"Affordable premiums, but coverage is limited.",3,Claims,affordable premium coverage limited
Claims process is complicated and lethargic.,2,Policy Terms,claim process complicated lethargic
Quick and easy online portal.,3,Coverage,quick easy online portal
"Great insurance, quick claims processing.",3,Customer Service,great insurance quick claim processing
"Good value for money, satisfied customer.",5,Pricing,good value money satisfied customer
"Excellent support, highly recommend.",5,Pricing,excellent support highly recommend
Quick and uncomplicated online portal.,4,Claims,quick uncomplicated online portal
"Good value for money, satisfied customer.",3,Pricing,good value money satisfied customer
Highly recommend this insurance provider.,2,Policy Terms,highly recommend insurance provider
"Affordable premiums, but coverage is limited.",1,Policy Terms,affordable premium coverage limited
Customer service representatives are knowledgeable.,5,Policy Terms,customer service representative knowledgeable
"Had issues with claim settlement, not satisfied.",5,Policy Terms,issue claim settlement satisfied
"Had issues with claim settlement, not satisfied.",3,Pricing,issue claim settlement satisfied
Frustrated with the really renewal process.,4,Customer Service,frustrated really renewal process
Easy to understand policy terms.,1,Coverage,easy understand policy term
Claims process is complicated and slow.,3,Customer Service,claim process complicated slow
"Affordable premiums, but coverage is limited.",3,Coverage,affordable premium coverage limited
"Hidden fees, not transparent.",1,Pricing,hidden fee transparent
"Excellent support, highly recommend.",5,Claims,excellent support highly recommend
"Great insurance, fast claims processing.",5,Customer Service,great insurance fast claim processing
Premiums are reasonable for the coverage provided.,4,Claims,premium reasonable coverage provided
Easy to understand policy terms.,5,Claims,easy understand policy term
"Good value for money, satisfied customer.",1,Customer Service,good value money satisfied customer
"Poor customer service, took forever to get a response.",3,Claims,poor customer service took forever get response
"Great insurance, fast claims processing.",2,Coverage,great insurance fast claim processing
Customer very service representatives are knowledgeable.,2,Pricing,customer service representative knowledgeable
"Good value for money, satisfied very customer.",2,Customer Service,good value money satisfied customer
"Claims denied without reason, very frustrating.",5,Claims,claim denied without reason frustrating
Coverage options meet my needs extremely perfectly.,5,Customer Service,coverage option meet need extremely perfectly
"Hidden really fees, not transparent.",3,Customer Service,hidden really fee transparent
Premiums are reasonable for really the coverage provided.,2,Policy Terms,premium reasonable really coverage provided
"Hidden fees, very not transparent.",1,Claims,hidden fee transparent
Coverage options meet my needs perfectly.,4,Pricing,coverage option meet need perfectly
"Claims extremely denied without reason, very frustrating.",4,Claims,claim extremely denied without reason frustrating
"Excellent support, highly recommend.",2,Pricing,excellent support highly recommend
Quick and easy online portal.,5,Customer Service,quick easy online portal
"Great insurance, fast claims processing.",2,Pricing,great insurance fast claim processing
"Affordable premiums, somewhat but coverage is limited.",4,Policy Terms,affordable premium somewhat coverage limited
"Great insurance, fast claims processing.",1,Pricing,great insurance fast claim processing
"Affordable premiums, but coverage somewhat is limited.",4,Coverage,affordable premium coverage somewhat limited
Claims process is complicated and slow.,2,Claims,claim process complicated slow
Premiums are reasonable for the coverage provided.,1,Coverage,premium reasonable coverage provided
"Excellent support, highly recommend.",5,Customer Service,excellent support highly recommend
Claims process is complicated and delayed.,5,Customer Service,claim process complicated delayed
"Excellent somewhat support, highly recommend.",5,Customer Service,excellent somewhat support highly recommend
Easy to understand policy terms.,3,Policy Terms,easy understand policy term
"Claims denied without reason, very frustrating.",5,Pricing,claim denied without reason frustrating
Billing department is efficient and accurate.,2,Coverage,billing department efficient accurate
"Affordable premiums, but coverage is limited.",2,Claims,affordable premium coverage limited
"Had issues with claim settlement, not satisfied.",1,Policy Terms,issue claim settlement satisfied
"Reliable company, been with them for really years.",3,Policy Terms,reliable company really year
Premiums are reasonable extremely for the coverage provided.,3,Customer Service,premium reasonable extremely coverage provided
Quick and easy online portal.,1,Policy Terms,quick easy online portal
"Great insurance, quick claims processing.",5,Coverage,great insurance quick claim processing
"Great insurance, fast claims processing.",3,Customer Service,great insurance fast claim processing
Easy to understand policy terms.,4,Coverage,easy understand policy term
Claims somewhat process is complicated and lethargic.,2,Coverage,claim somewhat process complicated lethargic
"Excellent support, highly recommend.",2,Customer Service,excellent support highly recommend
"Claims denied without reason, very frustrating.",1,Customer Service,claim denied without reason frustrating
"Outstanding customer service, very helpful.",2,Coverage,outstanding customer service helpful
"Poor customer service, took really forever to get a response.",4,Customer Service,poor customer service took really forever get response
"Claims denied without reason, very frustrating.",3,Pricing,claim denied without reason frustrating
"Claims denied without reason, very frustrating.",1,Coverage,claim denied without reason frustrating
Customer service representatives are knowledgeable.,5,Coverage,customer service representative knowledgeable
"Outstanding customer service, very helpful.",1,Policy Terms,outstanding customer service helpful
"Claims denied without really reason, very frustrating.",1,Policy Terms,claim denied without really reason frustrating
Highly recommend this insurance provider.,2,Pricing,highly recommend insurance provider
Billing department is efficient and accurate.,4,Customer Service,billing department efficient accurate
Quick and simple online portal.,3,Coverage,quick simple online portal
Coverage options meet my needs perfectly.,5,Coverage,coverage option meet need perfectly
Frustrated with extremely the renewal process.,4,Customer Service,frustrated extremely renewal process
"Great insurance, rapid claims processing.",4,Pricing,great insurance rapid claim processing
"Poor customer service, took forever to get a quite response.",5,Customer Service,poor customer service took forever get quite response
Frustrated with the renewal process.,3,Coverage,frustrated renewal process
"Great insurance, fast claims processing.",4,Customer Service,great insurance fast claim processing
"Had extremely issues with claim settlement, not satisfied.",1,Coverage,extremely issue claim settlement satisfied
"Good value for money, satisfied customer.",4,Pricing,good value money satisfied customer
Coverage options meet my needs perfectly.,5,Pricing,coverage option meet need perfectly
Billing department is efficient and accurate.,5,Coverage,billing department efficient accurate
Premiums are reasonable for the coverage really provided.,1,Claims,premium reasonable coverage really provided
"Excellent support, highly recommend.",4,Coverage,excellent support highly recommend
"Outstanding really customer service, very helpful.",2,Policy Terms,outstanding really customer service helpful
Quick and easy online portal.,3,Pricing,quick easy online portal
"Claims denied without reason, really very frustrating.",4,Pricing,claim denied without reason really frustrating
"Good value for money, satisfied customer.",5,Coverage,good value money satisfied customer
"Good value for money, extremely satisfied customer.",2,Policy Terms,good value money extremely satisfied customer
Premiums are reasonable for the coverage provided.,5,Policy Terms,premium reasonable coverage provided
"Excellent support, highly recommend.",1,Customer Service,excellent support highly recommend
"Excellent support, highly recommend.",4,Claims,excellent support highly recommend
"Terrible experience, will not somewhat renew.",5,Coverage,terrible experience somewhat renew
"Hidden fees, not transparent.",4,Policy Terms,hidden fee transparent
"Claims denied without reason, very frustrating.",4,Claims,claim denied without reason frustrating
Easy to understand policy terms.,2,Coverage,easy understand policy term
Billing department is efficient and accurate.,4,Claims,billing department efficient accurate
"Terrible experience, will not renew.",4,Pricing,terrible experience renew
Claims process is complicated and slow.,3,Policy Terms,claim process complicated slow
Quick and easy online portal.,2,Pricing,quick easy online portal
"Great insurance, fast claims processing.",2,Claims,great insurance fast claim processing
"Reliable company, been with them for years.",1,Coverage,reliable company year
"Terrible experience, will not renew.",4,Policy Terms,terrible experience renew
"Terrible experience, will not renew.",3,Customer Service,terrible experience renew
Highly recommend this insurance provider.,2,Coverage,highly recommend insurance provider
Claims process is complicated and lethargic.,5,Claims,claim process complicated lethargic
Billing department is very efficient and accurate.,5,Pricing,billing department efficient accurate
Frustrated with the renewal process.,3,Pricing,frustrated renewal process
Premiums are reasonable for the coverage provided.,4,Pricing,premium reasonable coverage provided
"Terrible very experience, will not renew.",2,Pricing,terrible experience renew
"Excellent support, highly very recommend.",4,Pricing,excellent support highly recommend
"Affordable premiums, but quite coverage is limited.",2,Coverage,affordable premium quite coverage limited
Claims process is complicated and slow.,4,Pricing,claim process complicated slow
"Reliable company, been with them for years.",3,Pricing,reliable company year
"Claims denied without reason, quite very frustrating.",3,Coverage,claim denied without reason quite frustrating
"Outstanding customer service, very helpful.",3,Customer Service,outstanding customer service helpful
"Affordable premiums, but coverage is quite limited.",1,Customer Service,affordable premium coverage quite limited
Claims process is complicated and sluggish.,4,Coverage,claim process complicated sluggish
Premiums quite are reasonable for the coverage provided.,2,Customer Service,premium quite reasonable coverage provided
"Had issues with claim somewhat settlement, not satisfied.",1,Claims,issue claim somewhat settlement satisfied
"Poor customer service, took forever to get extremely a response.",5,Pricing,poor customer service took forever get extremely response
Quick and easy online portal.,2,Coverage,quick easy online portal
"Excellent support, highly recommend.",3,Customer Service,excellent support highly recommend
"Outstanding customer service, quite very helpful.",4,Policy Terms,outstanding customer service quite helpful
Highly recommend this insurance provider.,2,Customer Service,highly recommend insurance provider
"Terrible experience, will not renew.",1,Pricing,terrible experience renew
"Excellent support, highly recommend.",4,Customer Service,excellent support highly recommend
Billing department is efficient and accurate.,1,Claims,billing department efficient accurate
Claims process is complicated and tardy.,1,Claims,claim process complicated tardy
"Excellent support, highly recommend.",3,Claims,excellent support highly recommend
"Hidden fees, not transparent.",2,Customer Service,hidden fee transparent
Easy to understand quite policy terms.,2,Coverage,easy understand quite policy term
Easy to understand policy terms.,2,Customer Service,easy understand policy term
"Had issues with claim settlement, extremely not satisfied.",4,Coverage,issue claim settlement extremely satisfied
"Excellent support, quite highly recommend.",2,Policy Terms,excellent support quite highly recommend
"Hidden extremely fees, not transparent.",3,Pricing,hidden extremely fee transparent
Billing department is efficient and accurate.,1,Policy Terms,billing department efficient accurate
"Excellent support, highly extremely recommend.",4,Customer Service,excellent support highly extremely recommend
"Outstanding customer really service, very helpful.",2,Claims,outstanding customer really service helpful
Billing department is efficient and accurate.,2,Claims,billing department efficient accurate
"Had issues with claim settlement, not satisfied.",2,Customer Service,issue claim settlement satisfied
Quick and straightforward really online portal.,1,Customer Service,quick straightforward really online portal
Customer service quite representatives are knowledgeable.,3,Customer Service,customer service quite representative knowledgeable
"Outstanding customer service, very helpful.",5,Claims,outstanding customer service helpful
"Great insurance, speedy claims processing.",1,Coverage,great insurance speedy claim processing
"Terrible somewhat experience, will not renew.",4,Claims,terrible somewhat experience renew
Customer service representatives are knowledgeable.,3,Coverage,customer service representative knowledgeable
"Good really value for money, satisfied customer.",5,Customer Service,good really value money satisfied customer
Billing department is efficient and accurate.,4,Coverage,billing department efficient accurate
Easy very to understand policy terms.,3,Pricing,easy understand policy term
Quick and straightforward online portal.,5,Coverage,quick straightforward online portal
"Good really value for money, satisfied customer.",1,Policy Terms,good really value money satisfied customer
Billing department is efficient and very accurate.,3,Pricing,billing department efficient accurate
"Reliable company, been with them for years.",4,Policy Terms,reliable company year
"Hidden fees, really not transparent.",3,Pricing,hidden fee really transparent
Premiums are reasonable for the coverage provided.,2,Pricing,premium reasonable coverage provided
"Good somewhat value for money, satisfied customer.",3,Policy Terms,good somewhat value money satisfied customer
"Excellent support, really highly recommend.",1,Policy Terms,excellent support really highly recommend
Quick and easy somewhat online portal.,1,Coverage,quick easy somewhat online portal
"Outstanding customer service, very helpful.",5,Policy Terms,outstanding customer service helpful
Premiums are reasonable for somewhat the coverage provided.,3,Pricing,premium reasonable somewhat coverage provided
"Poor customer service, took forever to get somewhat a response.",2,Claims,poor customer service took forever get somewhat response
